No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
215,Group Call,TG 31062,Mountain West,,,31062,
216,Group Call,TG 31063,Mtn West 1,,,31063,
217,Group Call,TG 31064,Santa Clara Coun,,,31064,
218,Group Call,TG 31065,NorCal AllStar,,,31065,
219,Group Call,TG 31066,SoCal,,,31066,
220,Group Call,TG 31067,SoCal 1,,,31067,
221,Group Call,TG 31068,NorCal,,,31068,
222,Group Call,TG 31069,NorCal 1,,,31069,
223,Group Call,TG 31070,VCDRC,,,31070,
224,Group Call,TG 31071,VCDRC 2,,,31071,
225,Group Call,TG 31072,California TAC,,,31072,
226,Group Call,TG 31073,SBARC,,,31073,
227,Group Call,TG 31074,SD SAR Team,,,31074,
228,Group Call,TG 31075,BayNet,,,31075,
229,Group Call,TG 31076,CDM,,,31076,
230,Group Call,TG 31077,PAPA Chat,,,31077,
231,Group Call,TG 31078,PAPA Bridge,,,31078,
232,Group Call,TG 31079,Alert Radio,,,31079,
233,Group Call,TG 31080,Colorado Chat,,,31080,
234,Group Call,TG 31082,Colorado-Link,,,31082,
235,Group Call,TG 31083,CO Severe WX,,,31083,
236,Group Call,TG 31084,NOCO Mountain FR,,,31084,
237,Group Call,TG 31085,SkiCountryARC,,,31085,
238,Group Call,TG 31086,Western Colorado,,,31086,
239,Group Call,TG 31088,Colorado HD,,,31088,
240,Group Call,TG 31089,Hytera USA,,,31089,
241,Group Call,TG 31090,Connecticut TAC,,,31090,
242,Group Call,TG 31091,SPARC,,,31091,
243,Group Call,TG 31100,Delaware TAC,,,31100,
244,Group Call,TG 31120,TAC- Florida,,,31120,
245,Group Call,TG 31121,First Coast DMR,,,31121,
246,Group Call,TG 31122,WC Florida,,,31122,
247,Group Call,TG 31123,Treasure Coast,,,31123,
248,Group Call,TG 31124,South-East-Flori,,,31124,
249,Group Call,TG 31125,Disney,,,31125,
250,Group Call,TG 31128,NE FL ARES,,,31128,
251,Group Call,TG 31129,Orlando FL,,,31129,
252,Group Call,TG 31130,Georgia ARES,,,31130,
253,Group Call,TG 31131,Atlanta Metro,,,31131,
254,Group Call,TG 31132,South Georgia,,,31132,
255,Group Call,TG 31133,SETN NWGA,,,31133,
256,Group Call,TG 31134,North Georgia,,,31134,
257,Group Call,TG 31135,Central GA,,,31135,
258,Group Call,TG 31150,Hawaii 2,,,31150,
259,Group Call,TG 31151,Maui County,,,31151,
260,Group Call,TG 31152,Honolulu County,,,31152,
261,Group Call,TG 31153,Hawaii County,,,31153,
262,Group Call,TG 31154,Kauai County,,,31154,
263,Group Call,TG 31158,HMASN,,,31158,
264,Group Call,TG 31159,Hawaii DEM,,,31159,
265,Group Call,TG 31160,ARES Idaho,,,31160,
266,Group Call,TG 31161,ARES ID N,,,31161,
267,Group Call,TG 31162,ARES ID CENTRAL,,,31162,
268,Group Call,TG 31164,ARES ID SE,,,31164,
269,Group Call,TG 31165,ARES ID SW,,,31165,
270,Group Call,TG 31166,TC ID ARES,,,31166,
271,Group Call,TG 31167,Southeastern Ida,,,31167,
272,Group Call,TG 31170,Round Lake Area,,,31170,
273,Group Call,TG 31171,IL-Fusion,,,31171,
274,Group Call,TG 31172,CHI-NET,,,31172,
275,Group Call,TG 31173,N Ill EComm,,,31173,
276,Group Call,TG 31174,ECntrl Ill WxOps,,,31174,
277,Group Call,TG 31175,NA Astronomy,,,31175,
278,Group Call,TG 31176,Chi Metro,,,31176,
279,Group Call,TG 31177,East Central IL,,,31177,
280,Group Call,TG 31178,WXCTAC,,,31178,
281,Group Call,TG 31179,Cnt IL Wires-X,,,31179,
282,Group Call,TG 31180,Indiana TAC,,,31180,
283,Group Call,TG 31181,Indiana Link,,,31181,
284,Group Call,TG 31182,WA9RN Operations,,,31182,
285,Group Call,TG 31183,Indiana WX Ops,,,31183,
286,Group Call,TG 31184,Parke-Vermillion,,,31184,
287,Group Call,TG 31188,SIN,,,31188,
288,Group Call,TG 31189,Crossroads State,,,31189,
289,Group Call,TG 31190,Iowa Chat,,,31190,
290,Group Call,TG 31191,IA DSM 1,,,31191,
291,Group Call,TG 31193,IA NW 3,,,31193,
292,Group Call,TG 31194,IA SW 4,,,31194,
293,Group Call,TG 31195,IA SE 5,,,31195,
294,Group Call,TG 31196,IA CID 6,,,31196,
295,Group Call,TG 31197,WCARES,,,31197,
296,Group Call,TG 31198,NWS DVN,,,31198,
297,Group Call,TG 31199,NWS DMX/SEOC,,,31199,
298,Group Call,TG 31200,Ks Sw ARES,,,31200,
299,Group Call,TG 31201,BYRG,,,31201,
300,Group Call,TG 31202,BYRG 2,,,31202,
301,Group Call,TG 31203,KansasLink,,,31203,
302,Group Call,TG 31204,CKRG,,,31204,
303,Group Call,TG 31205,KC Skywarn,,,31205,
304,Group Call,TG 31206,Cen Ks Skywarn,,,31206,
305,Group Call,TG 31208,WY CO RACES,,,31208,
306,Group Call,TG 31209,WY CO CERT,,,31209,
307,Group Call,TG 31210,XRF210 D,,,31210,
308,Group Call,TG 31211,KY ARES Statewid,,,31211,
309,Group Call,TG 31212,NE KY WX Spotter,,,31212,
310,Group Call,TG 31220,Louisiana Chat,,,31220,
311,Group Call,TG 31224,XRF048 C,,,31224,
312,Group Call,TG 31229,ArkLaTex,,,31229,
313,Group Call,TG 31240,RC CGR DST,,,31240,
314,Group Call,TG 31241,XRF336 C,,,31241,
315,Group Call,TG 31242,MD TAC,,,31242,
316,Group Call,TG 31251,Metro Boston,,,31251,
317,Group Call,TG 31254,XRF054 C,,,31254,
318,Group Call,TG 31255,HCRA,,,31255,
319,Group Call,TG 31257,NEARC,,,31257,
320,Group Call,TG 31261,Mi5-STATEWIDE1,,,31261,
321,Group Call,TG 31262,Mi5-STATEWIDE2,,,31262,
322,Group Call,TG 31263,Mi5-EVENT1,,,31263,
323,Group Call,TG 31265,Mi5-EVENT3,,,31265,
324,Group Call,TG 31268,UP of Michigan,,,31268,
325,Group Call,TG 31269,WMTG,,,31269,
326,Group Call,TG 31270,Minnesota TAC,,,31270,
327,Group Call,TG 31272,Minn Metro,,,31272,
328,Group Call,TG 31274,AARG,,,31274,
329,Group Call,TG 31281,XRF813 A,,,31281,
330,Group Call,TG 31290,Missouri ARES,,,31290,
331,Group Call,TG 31291,SWMO,,,31291,
332,Group Call,TG 31292,STL Metro,,,31292,
333,Group Call,TG 31293,Branson Area,,,31293,
334,Group Call,TG 31294,NW Missouri,,,31294,
335,Group Call,TG 31295,SE Missouri,,,31295,
336,Group Call,TG 31296,Central Missouri,,,31296,
337,Group Call,TG 31297,SW MO SkyWarn,,,31297,
338,Group Call,TG 31298,KCN ARES,,,31298,
339,Group Call,TG 31299,CASS County ARES,,,31299,
340,Group Call,TG 31300,Montana Chat,,,31300,
341,Group Call,TG 31301,MPRG,,,31301,
342,Group Call,TG 31302,MPRG 2,,,31302,
343,Group Call,TG 31303,BGV,,,31303,
344,Group Call,TG 31304,NW7RG-USA,,,31304,
345,Group Call,TG 31305,Bitterroot Valle,,,31305,
346,Group Call,TG 31310,Nebraska EmComm,,,31310,
347,Group Call,TG 31319,Nebraska Chat,,,31319,
348,Group Call,TG 31321,Nevada 1,,,31321,
349,Group Call,TG 31322,VOAD,,,31322,
350,Group Call,TG 31323,ENARS,,,31323,
351,Group Call,TG 31325,HXO,,,31325,
352,Group Call,TG 31326,Burning Man,,,31326,
353,Group Call,TG 31327,Las Vegas,,,31327,
354,Group Call,TG 31328,SNARS (Reno/Taho,,,31328,
355,Group Call,TG 31329,SNARS 2,,,31329,
356,Group Call,TG 31330,EmComm,,,31330,
357,Group Call,TG 31340,NJPAAsterisk,,,31340,
358,Group Call,TG 31341,South Jersey,,,31341,
359,Group Call,TG 31342,North Jersey,,,31342,
360,Group Call,TG 31349,N2MO OMARC,,,31349,
361,Group Call,TG 31360,NY-NJ-PA TriStat,,,31360,
362,Group Call,TG 31361,Upstate NY,,,31361,
363,Group Call,TG 31362,NY-Metro,,,31362,
364,Group Call,TG 31363,ADK,,,31363,
365,Group Call,TG 31364,Lower Hudson Val,,,31364,
366,Group Call,TG 31365,K2MAK,,,31365,
367,Group Call,TG 31366,NY METRO ARES,,,31366,
368,Group Call,TG 31367,Southern Tier NY,,,31367,
369,Group Call,TG 31368,Mid-Hudson Valle,,,31368,
370,Group Call,TG 31369,Monroe County,,,31369,
371,Group Call,TG 31370,NC TAC,,,31370,
372,Group Call,TG 31371,Triangle NC,,,31371,
373,Group Call,TG 31373,Eastern NC,,,31373,
374,Group Call,TG 31374,Carolina Link,,,31374,
375,Group Call,TG 31375,The Hornet's Nes,,,31375,
376,Group Call,TG 31376,WNC TacComm,,,31376,
377,Group Call,TG 31377,Outer Banks,,,31377,
378,Group Call,TG 31390,Ohio TAC,,,31390,
379,Group Call,TG 31391,NorthEast Ohio,,,31391,
380,Group Call,TG 31392,Central OH WX,,,31392,
381,Group Call,TG 31393,SouthEast Ohio,,,31393,
382,Group Call,TG 31394,SW Ohio,,,31394,
383,Group Call,TG 31395,ARES,,,31395,
384,Group Call,TG 31398,EMCOMM,,,31398,
385,Group Call,TG 31399,Ohio-Link-YSF,,,31399,
386,Group Call,TG 31400,OK TAC,,,31400,
387,Group Call,TG 31401,OK1-Central,,,31401,
388,Group Call,TG 31404,SE OK EM TAC,,,31404,
389,Group Call,TG 31408,Oklahoma WX,,,31408,
390,Group Call,TG 31410,Oregon TAC,,,31410,
391,Group Call,TG 31411,Central Oregon,,,31411,
392,Group Call,TG 31419,RepeaterBook,,,31419,
393,Group Call,TG 31420,PEMA and EmComm,,,31420,
394,Group Call,TG 31421,PA Tac,,,31421,
395,Group Call,TG 31422,Western PA,,,31422,
396,Group Call,TG 31423,North-Central PA,,,31423,
397,Group Call,TG 31424,North East PA,,,31424,
398,Group Call,TG 31425,PA Cross-mode,,,31425,
399,Group Call,TG 31427,Tri-County,,,31427,
400,Group Call,TG 31428,RF-IT,,,31428,
401,Group Call,TG 31429,Zednet,,,31429,
402,Group Call,TG 31441,Rhode Island Cha,,,31441,
403,Group Call,TG 31444,Rhode Island Dig,,,31444,
404,Group Call,TG 31450,SC ARES,,,31450,
405,Group Call,TG 31451,SC TAC,,,31451,
406,Group Call,TG 31456,Low Country,,,31456,
407,Group Call,TG 31457,Upstate,,,31457,
408,Group Call,TG 31458,Midlands,,,31458,
409,Group Call,TG 31459,Pee Dee SC,,,31459,
410,Group Call,TG 31460,SD ARES,,,31460,
411,Group Call,TG 31470,Mid-South Chat,,,31470,
412,Group Call,TG 31471,NWS Memphis,,,31471,
413,Group Call,TG 31472,NWS-Skywarn,,,31472,
414,Group Call,TG 31473,Knox-Metro area,,,31473,
415,Group Call,TG 31474,Fusion-Link,,,31474,
416,Group Call,TG 31477,Gatlinburg,,,31477,
417,Group Call,TG 31479,The Light,,,31479,
418,Group Call,TG 31480,TX Chat,,,31480,
419,Group Call,TG 31481,North Texas,,,31481,
420,Group Call,TG 31482,South Texas,,,31482,
421,Group Call,TG 31483,West Texas,,,31483,
422,Group Call,TG 31484,SouthEast Texas,,,31484,
423,Group Call,TG 31485,Amarillo wires-x,,,31485,
424,Group Call,TG 31486,Tom Green County,,,31486,
425,Group Call,TG 31488,Texas-Nexus,,,31488,
426,Group Call,TG 31490,76ers,,,31490,
427,Group Call,TG 31491,Northern Utah,,,31491,
428,Group Call,TG 31492,Davis Utah,,,31492,
429,Group Call,TG 31511,Middle Peninsula,,,31511,
430,Group Call,TG 31512,Virginia ARES,,,31512,
431,Group Call,TG 31513,Southwest Virgin,,,31513,
432,Group Call,TG 31514,Shenandoah Valle,,,31514,
433,Group Call,TG 31515,Tidewater VA,,,31515,
434,Group Call,TG 31530,PNW-West,,,31530,
435,Group Call,TG 31531,Olympic Peninsul,,,31531,
436,Group Call,TG 31550,Wisconsin WXTAC,,,31550,
437,Group Call,TG 31551,WI--Fusion,,,31551,
438,Group Call,TG 31555,WI-DMR,,,31555,
439,Group Call,TG 31561,Wyoming Tac 1,,,31561,
440,Group Call,TG 31562,Wyoming Tac 2,,,31562,
441,Group Call,TG 31563,Wyoming Severe W,,,31563,
442,Group Call,TG 31600,USA - Area 0,,,31600,
443,Group Call,TG 31601,USA - Area 1,,,31601,
444,Group Call,TG 31602,USA - Area 2,,,31602,
445,Group Call,TG 31603,USA - Area 3,,,31603,
446,Group Call,TG 31604,USA - Area 4,,,31604,
447,Group Call,TG 31605,USA - Area 5,,,31605,
448,Group Call,TG 31606,USA - Area 6,,,31606,
449,Group Call,TG 31607,USA - Area 7,,,31607,
450,Group Call,TG 31608,USA - Area 8,,,31608,
451,Group Call,TG 31609,USA - Area 9,,,31609,
452,Group Call,TG 31619,CRTS,,,31619,
453,Group Call,TG 31620,Kings of Digital,,,31620,
454,Group Call,TG 31621,HRCC,,,31621,
455,Group Call,TG 31622,South East FL,,,31622,
456,Group Call,TG 31623,Public Safety Ch,,,31623,
457,Group Call,TG 31625,The Hangout SPot,,,31625,
458,Group Call,TG 31628,Menlo Park RC,,,31628,
459,Group Call,TG 31629,SwiNe,,,31629,
460,Group Call,TG 31630,STEM,,,31630,
461,Group Call,TG 31648,DMR INFO NETWORK,,,31648,
462,Group Call,TG 31650,SDFARC,,,31650,
463,Group Call,TG 31651,Oscar Channel,,,31651,
