No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
24,Analog CH,Dallas6700,146.7,146.1,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
25,Analog CH,Net2175,442.175,447.175,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
26,Analog CH,Net3875,443.875,448.875,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
27,Analog CH,Net4700,444.7,449.7,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
28,Analog CH,Net5400,145.4,144.8,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
29,Analog CH,Watagua4575,444.575,449.575,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
30,Analog CH,CedarHill706,147.06,147.66,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
31,Analog CH,LinkedSystem,146.9,146.3,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
32,Analog CH,NRH3225,443.225,448.225,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
33,Analog CH,NRH2775,442.775,447.775,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
34,Analog CH,Grapevine5400,145.4,144.8,High,75S,No,1,Yes,No,No,12.5K,None,110.9,Channel Free,No,Simplex,Slot1,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Custom,,Priority Contacts: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact
