Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
89,N5DA,443.02500,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
90,N5EOC,442.17500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Southlake",
91,N5ERS,146.62000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Flower Mound",
92,N5ERS,147.30000,+,0.6,Tone,114.8,88.5,23,NN,FM,5,"Flower Mound",
93,N5ERS,444.85000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Flower Mound",
94,N5FTF,442.52500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
95,N5GAR,147.30000,+,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
96,N5GAR,442.27500,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
97,N5GAR,443.10000,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
98,N5GI,442.02500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Dallas",
99,N5GI,444.37500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Arlington",
100,N5GRK,443.42500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
101,N5GRK,444.47500,+,5,,88.5,88.5,23,NN,FM,5,"Haslet",
102,N5HKA,444.60000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
103,N5IAG,442.07500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
104,N5MJQ,145.21000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Carrollton",
105,N5MJQ,442.65000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Carrollton, Baylor Hospital",
106,N5NNB,443.25000,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
107,N5PMB,443.15000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
108,N5SHC,444.95000,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
109,N5SKU,446.07500,,0,Tone,123.0,88.5,23,NN,FM,5,"Richardson",
110,N5SKU,446.12500,,0,Tone,123.0,88.5,23,NN,FM,5,"Richardson",
111,N5TDX,145.50000,-,0.6,,88.5,88.5,23,NN,FM,5,"Westland",
112,N5TPS,442.05000,+,5,,88.5,88.5,23,NN,FM,5,"Prosper",
113,N5UA,442.97500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
114,N5UN,423.97500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Fort Worth",
115,N5UN,443.97500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Fort Worth",
116,N5VAV,441.85000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Richland Hills",
117,N5VZE,443.75000,+,5,,88.5,88.5,23,NN,FM,5,"Egan",
118,N5WD,446.05000,,0,Tone,110.9,88.5,23,NN,FM,5,"Lake Worth",
119,N5XED,145.50000,-,0.6,,88.5,88.5,23,NN,FM,5,"Goshen",
120,N5ZW,442.27500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
121,NR5E,441.35000,+,5,,88.5,88.5,23,NN,FM,5,"Arlington",
122,NT5J,443.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Keller",
123,NT5NT,443.32500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Richardson",
124,W5AHN,147.26000,+,0.6,Tone,85.4,88.5,23,NN,FM,5,"Cedar Hill",
125,W5AHN,443.72500,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
126,W5AUY,147.06000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
127,W5AUY,444.50000,+,5,,88.5,88.5,23,NN,FM,5,"Cedar Hill",
128,W5BOH,146.70000,-,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
129,W5CQU,145.52000,,0,,88.5,88.5,23,NN,FM,5,"Double Oak",
130,W5DFW,443.17500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Keller",
131,W5DRH,444.02500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
132,W5DS,147.36000,+,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
133,W5EBQ,146.70000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Dallas, Green Building",
134,W5EBQ,441.92500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas, Green Building",
135,W5EUL,442.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Euless",
136,W5FA,145.33000,-,0.6,,88.5,88.5,23,NN,FM,5,"Richland Hills",
137,W5FB,146.78000,-,0.6,Tone,131.8,88.5,23,NN,FM,5,"Decatur",
138,W5FKN,145.17000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Denton, EOC",
139,W5GM,441.37500,+,5,,88.5,88.5,23,NN,FM,5,"Richardson",
140,W5GSR,440.47500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
141,W5GSR,441.35000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Duncanville",
142,W5JBP,145.13000,-,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
143,W5JBP,442.50000,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
144,W5LLR,446.05500,,0,Tone,210.7,88.5,23,NN,FM,5,"Justin",
145,W5MAY,442.40000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
146,W5MGM,146.44000,,0.6,,88.5,88.5,23,NN,FM,5,"Bethel",
147,W5NGU,146.92000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Denton, Guinn Hall",
148,W5NGU,441.32500,+,5,,88.5,88.5,23,NN,FM,5,"Denton",
149,W5NGU,444.05000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Copper Canyon",
150,W5OYS,444.82500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Boyd",
151,W5PSB,444.55000,+,5,,88.5,88.5,23,NN,FM,5,"Arlington",
152,W5ROK,441.87500,+,5,Tone,131.8,88.5,23,NN,FM,5,"Richardson",
153,W5RV,441.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Colleyville",
154,W5SH,146.84000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
155,W5SJZ,147.28000,+,0.6,,88.5,88.5,23,NN,FM,5,"Fort Worth",
156,W5SJZ,442.20000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
157,W5URH,146.68000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
158,W5URH,146.80000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
159,W5WB,147.06000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
160,W5ZX,441.02500,,5,,88.5,88.5,23,NN,FM,5,"Ward",
161,W7YC,441.30000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
162,W7YC,444.57500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Watauga",
163,WA5CKF,146.72000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Irving",
164,WA5CKF,442.67500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
165,WA5FWC,145.39000,-,0.6,Tone,167.9,88.5,23,NN,FM,5,"Mansfield",
166,WA5HTT,442.05000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
167,WA5VHU,443.85000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Arlington",
168,N5EOC,145.40000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Grapevine",
169,WB5IDM,147.16000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Azle",
170,WB5IDM,442.15000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Azle",
171,WB5IDM,444.97500,+,5,,88.5,88.5,23,NN,FM,5,"Azle",
172,WB5JHR,444.52500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
173,WB5NDJ,443.55000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Argyle",
174,WB5RXA,146.58000,,0.6,,88.5,88.5,23,NN,FM,5,"Sardis",
175,WB5YUV,442.40000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Cedar Hill",
176,WB8GRS,145.76000,,0,Tone,123.0,88.5,23,NN,FM,5,"Little Elm",
177,WD5DBB,146.86000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Arlington",
178,WD5DDH,145.41000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Midlothian",
179,WD5EEH,443.35000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
180,WD5GIC,443.22500,+,5,,88.5,88.5,23,NN,FM,5,"Alvarado",
181,WD5M,145.25000,,0,Tone,110.9,88.5,23,NN,FM,5,"Rhome",
182,WD5M,445.75000,,0,,88.5,88.5,23,NN,FM,5,"Swan Lake",
183,WD5M,446.05000,,0,Tone,110.9,88.5,23,NN,FM,5,"Rhome",
184,WD5RP,145.56000,,0,,88.5,88.5,23,NN,FM,5,"Tate Springs",
185,WO5E,442.47500,+,5,,88.5,88.5,23,NN,FM,5,"Dallas",
186,WQ5A,442.60000,+,5,Tone,131.8,88.5,23,NN,FM,5,"Decatur",
187,WA5JRS,448.77500,,0,Tone,167.9,88.5,23,NN,FM,5,"Mansfield",
188,WX5FWD,444.30000,,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
189,WX5FWD,446.47500,,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
190,WX5O,444.02500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Richardson",
191,AL7HH,444.80000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
192,AL7HH/R,444.80000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Irving",
